primary_question,answer
变更签证时提示【当前项目分期不允许发起变洽签】,"在履约发起【变更签证】时提示【当前分期不能发起变更签证】
只要有下列原因之一则不可以发起【变更签证】；
原因一：开业时间超过时间，比如C1的是交房一个月，C2的是开业三个月等等
比如：某合同有三个项目分期，则需要三个分期均不超过限制时间；
原因二：合同没有项目分期，比如费项归属是：【库存材料合同】、【框架协议】、【采购公司【外】】等这种；
原因三：合同有项目分期，但【合同模板】是【研发设计合同】；
对上述原因不确认的，请报事联系【成本管理平台】进行核实或咨询处理方案
 "
【变更签章】列表看不到编号,"1-外网审批完成后，联系咨询核价的时候驳回才会在履约外网显示编号
2-外网审批完成后，联系咨询核价发起内网审批流程，流程审批结束后显示编号
 "
【请款申请】审批流程里，没有对应的【监理人员】,"联系监理公司的【账号管理员】，确认是否给用户分配合同，没有分配由【账号管理员】在【履约协同】-【合同权限分配】页面，点击【合同权限分配】按钮进行分配；
若合同已分配，需跟监理确认分配的角色是否为【项目经理（监理）】、【总监理工程师】、【监理工程师】其中一个，若不是请监理单位账号管理员对对应的账号增加上述角色；
 "
【咨询】审批人员审批请款流程时无【产值初审】模块,发起人在【请款申请】业务信息页面发起过的【请款阶段】字段显示为【进度款】、【竣备款】的，发起人是看不到【产值初审】模块，在审批流程节点三里有【项目经理（咨询）】，【项目经理（咨询）】、【咨询工程师】、【地区地产项目咨询造价师】角色的人审批时就会自动显示【产值初审】，也就是说【产值初审】是咨询审批时的模块，发起审批流程，咨询审批的时候查看的；其他的请款阶段流程均没有【产值初审】模块。（带合同清单的合同，即使满足以上情况，【咨询】也无法看到【产值初审】）
【请款申请】提交时提示【有一条在途的单据】,"【请款申请】是对截止到当月实际完成的累计产值的申请，是按照实际现场形象进度，或实际的供货数量据实上报，每月仅需上报一次产值即可，并非最终的【付款】，与【付款方式】无关；
【付款资料】可以同时有多个在途的单据，且也可以在一个付款申请里有多种付款方式，具体看项目业务要求（【付款申请】是由【咨询】在【成本管理平台】发起 ）；"
提交请款审批时，提示有指定角色需要审批人,点击审批流信息中的【选择审批人】，添加指定审批人后提交；
发起请款审批后，【审批信息】页面中显示的【监理】信息错误,请联系成本经理确认对应分期下监理合同是否已正确分配到该项目负责的监理人员账号下，且对应分配的监理角色必须是【项目经理（监理）】、【总监理工程师】、【监理工程师】中一个，若不是需联系监理单位账号管理员新增或者修改角色。
一笔请款申请涉及到两个【阶段】，怎么填写约定的请款比例？,"涉及到一笔请款多个请款阶段，请计算综合 请款比例，并在请款说明中，详细说明请款比例原因。
如：按照合同中的付款比例约定，例如 （100*80%+100*100%）/200=0.9 ,即请款比例为90%；"
发起请款申请审批流显示未找到审批人,"1、请确认所填写专业信息是否无误；
2、通过【选择审批人】按钮添加的审批人。
若选错无法修改（系统有提示）。修改审批人，需发起人撤回单据，并将已撤回单据删除后，重新发起单据。
（1）若【监理】、【咨询】缺失，请联系【成本经理】确认对应分期下【监理合同】、【咨询合同】是否已正确分配到该项目负责的【监理】、【咨询】人员，且对应分配的监理角色为【项目经理（监理）】、【总监理工程师】、【监理工程师】，对应的咨询角色为【项目经理（咨询）】、【咨询工程师】中一个，若不是，需联系监理单位、咨询单位【账号管理员】新增角色；
（2）若是甲方【工程师】缺失，请联系【工程师】自己进行角色申请，具体角色对应如下：（若工程师不知道如何申请角色，请让工程师请教直属上级）：专业为土建/安装的，角色【地区地产项目工程专员】，专业为景观的，角色【地区地产项目景观经理】，专业为精装的，角色【地区地产项目精装专员】。
注：通过【增加审批人】按钮添加的审批人一旦选错无法修改（系统有提示），且为加签，不建议加签操作。"
【请款列表】中【被协商】单据确认方法,被龙湖员工改为的协商的【请款申请】状态仍会显示为【审批中】，此时可在合作商平台【我的待办】中，查看到【被协商申请】的通知；
在请款列表点击【审批过程】时，页面没反应,查看浏览器地址栏是否有页面被拦截，允许弹出即可；
【咨询单位】/【监理单位】进行【请款申请】时，专业选择【土建/安装】,【咨询单位】/【监理单位】合同请款时专业可直接选择【土建/安装】；
【请款申请】附件上传要求,系统【附件模块】给供方提供了请款申请【产值计算模版】，可下载使用，若项目团队有自己的【格式模板】，可按项目团队要求执行；
请款时的合同【已确认金额】与【成本管理平台】显示不一致,查看的是否为历史单据，可新增单据后查看合同【已确认金额】；
没有查到新开的发票,"所有发票开据后，可以在【国税系统】查到相关信息；
如果在【国税系统】中可以查询后，则联系龙湖内部人员进行发票集采，具体步骤如下：
登录手机【龙信】-【发票夹】-【集采】录入相关信息，集采通过后5分钟左右会在【成本管理平台】自动进行【二次验真】；2次验真也通过后即可在【履约协同】查询到新开的发票。
备注：如果【集采】通过后在【履约协同】找不到发票，需要确认发票票面单位名称和纳税人识别号是否与付款单中单位是否一致；
   "
关联发票时提示【发票不含税金额和付款不含税金额不能超过0.3】,"在履约协同对付款单据【关联发票】时，需满足以下条件：
1.付款单据中的应付金额(J)=关联的发票票据金额（含税）合计；
2.可抵扣税额（B）=关联的专票票据税额合计；（最多可以有不超过0.3元的金额差异）
该问题常见于付款发票为2种税率造成；需要结合两种发票金额、税额满足上述要求，需要注意关联的发票税率应该分别大于、小于实际付款税率。"
【付款资料】未【打印封皮】时需更换关联的发票,"先全部取消关联的发票，再选择需要的发票进行关联
取消关联发票步骤：全选发票点移除确认关联再重新选择关联发票"
【付款资料】已【打印封皮】，【发票关联】更换发票,联系甲方成本经理，由其在手机端【云图梭】联系龙小湖的财务咨询，做【修改发票指令】，然后由甲方成本经理在内网【成本管理平台】的待办里，修改关联发票；
提交请款流程后，无对应的【付款资料】单据,"【付款资料】列表展示的为由龙湖咨询/成本经理/研发经理/工程师在【成本管理平台】直接发起的【付款申请】，非供方发起的请款申请。
如需甲方付款可联系甲方直接发起【付款申请】或者提交请款申请。请款申请审批完成后，【咨询】在成本管理平台结合资金计划提付款申请，提交后会同步到【履约系统】-【付款资料】台账，供方可进行发票的关联，请款审批完成后可【打印封皮】及【打包邮寄】，可通过【付款资料】中查看跟进进度。
 
  "
付款时是否可自动关联对应的发票,【关联发票】时，会默认带出该供方开据的所有发票，用户可以通过【筛选项】自行筛选，系统无法自动匹配。
付款【关联发票】税率显示为0，关联发票失败,"确认供方开据的发票是否为专票，如果开的是普票，该类票据可抵扣税率为0；请与龙湖对接人确认实际合同要求发票类型；
如果票据类型无误，请联系付款申请人录入税率是否正确，如税率有误请联系龙湖对接人在审批通过前驳回单据，重新填写正确可抵扣税率；"
关联发票提示【本次使用金额必须小于等于发票未使用金额(含税）】,请先通过付款资料列表点击【查看】，查看该付款资料【关联发票】模块是否有发票，如果有即为已经关联（可能由咨询或龙湖内部员工已完成发票关联），若未关联发票，可进行关联发票操作，但需保证时“本次使用金额”≤“发票未使用金额”。若之前已经关联过发票，现在要调整关联发票，且有一张相同发票，需【移除】关联发票模块所有发票后点击【确认关联】，再选择需要关联的发票，进行关联即可；
付款单据的税率与发票税率不一致,若是付款单据中【付款金额】-【可抵扣税额(B)】的税率有问题，请联系甲方【付款申请发起人】进行修改在审批通过前驳回单据，修改信息；若是发票问题，确认供方开据的发票是否为专票，如果开的是普票，该类票据可抵扣税率为0；请与龙湖对接人确认实际合同要求发票类型；
在【付款资料】列表上出现无【请款单据】对应的【付款单据】,"目前有2种情况导致：
1.有资金计划控制的项目、地区公司的合同付款在做资金计划引用了请款，并做支付时会自动带出该请款；
2.没有资金计划控制的项目、地区公司的合同付款在发起时，可以手动关联已审批的请款，但不强控；"
不能打印封皮，提示【未完成评价】,出现提示【未完成评价】时，可联系龙湖对接人，在招采管理平台的【供方评价管理】下，完成【评价任务】。
不能打印封皮，找不到【打印封皮】按钮,【付款资料】状态显示【甲方已审批】才会展示【打印封皮】按钮；
【打印封皮】无法打印全部,"在打印页面中调整页面布局或者打印张数；
   "
【打包邮寄】寄付款资料到共享平台，如何操作,"付款审批完成后，供方可通过【履约协同】自助打印付款封皮，再选中该单据点击【打包邮寄】，填写邮寄付款资料对应的【顺丰快递单号】
 "
收到【一月一清】的【待办】通知,"【每月25日】【履约协同】自动推送【一月一清】待办，同时会给【公司总经理】+【有合同权限】的经办人发送【手机短信】，提醒查看一月一清；
收到提示的用户可通过每月25日发送的清待办，查看截止至本月24日（含24日）该合同已提网的变更签证所有数据，若有现场已发生，但尚未提网的变更签证，施工单位需于次月24日前提交上网，否则超期不再办理；
【变更签证】功能模块于项目交房之日起住宅1个月，商业开业3个月后即关闭发起功能，已结算合同也无法发起变更签证，若有未提网的变更签证必须及时提网，否则将无法处理；
如果有用户角色为：公司总经理，且被分配了多个合同权限，则会有多合同复数次短信提醒以及待办通知；"
无【变更签证】菜单,"image {https://prod-ai-talk.oss-cn-beijing.aliyuncs.com/know/prod/2021/09/28/16327952333988814.pdf?Expires=4786395233&OSSAccessKeyId=LTAI4FoeSXRLXKE7RJkj4q9Z&Signature=3NNVbNTYT3VpFi61DHkCZ9rqI18%3D}
text {龙湖-供方公司变更签证权限分配.pdf 
请登录账号在【个人信息管理】确认本人是否以下角色【供应商项目施工负责人】、【供应商项目生产经理】、【供应商项目商务经理】、【施工单位公司商务经理】、【施工单位公司现场经理】、【供货单位项目经理】；}image {https://prod-ai-talk.oss-cn-beijing.aliyuncs.com/know/dev/2021/06/24/16245192354653217.png?Expires=4778119235&OSSAccessKeyId=LTAI4FoeSXRLXKE7RJkj4q9Z&Signature=e7RtM%2BVMXr9yFX%2FtLQ9ts5VbIeo%3D}
text {；
 }"
【变更签证】列表无【新增】,"包含“监理”或“咨询”的角色的人员，没有【变更签证】的【新增】功能，需根据实际情况确定是否将包含“咨询”、“监理”字眼的角色去掉，若取消则可以正常新增变更签证。但监理单位或咨询单位需要新增变更签证，需联系甲方人员在【成本管理平台】进行相关的变更签证动作业务，【履约协同】不支持监理单位或咨询单位的变更签证相关业务。
 
        "
租售系统的链接,http://ssvass.longhu.net/
鹅掌柜移动端下载,"【鹅掌柜】移动端下载地址：【https://wyzhmanager.longfor.com/h5/emaster/download.html】
鹅掌柜暂无PC端。使用手机端访问，会根据所使用的手机系统自行识别需要下载android或IOS版本"
鹅掌柜手机号修改方法,"内部员工：
可在【云图梭】修改绑定手机号，第二天会同步到租售系统。
外部人员：
可在【鹅掌柜APP】-【应用】-【fesco自助】-【更改手机号】操作修改。"
新房源开盘无法选择房间,"操作视频如下：
您好，因为该房间号或者车位在楼盘字典里没有进行创建，需要您联系地区运营在楼盘字典创建房间/车位，创建之后就可以正常开盘了。"
金鳞系统超佣/折佣审批通过了还能修改超佣/折佣数据嘛？,您好，审批通过的超佣申请无法修改，可以重新申请一笔超佣/超佣
更换门店后所有的客户都没有了,限坐席平台使用：需要咨询用户是否今天进行的调整，如果不确定可以在权限自助人员分配角色台账查一下该员工异动日期，如果是当天异动，跟用户反馈：租售金鳞系统客源异动是比人员异动滞后的，会在人员异动后的第二天进行同步异动，您明天再试一下
经纪人及店长都离职了，新房签约如何进行变更和退户？,您好，如果门店已经关闭，或者当下门店的店长以及经纪人都已经离职了，需要联系地区运营协助走签约变更或者退户
客户在塘鹅租售app上签不了补充协议,您好，请检查一下这个补充协议是什么日期生成的，补充协议过了7天就会自动失效了，需要将原来的补充协议作废掉，重新创建一条新的补充协议
新房报单中出现开发商合作模式错误,您好，新房楼盘合作模式需要联系项目在合作方功能那里修改后，再重新进行报单
补充协议/解约协议审批流程已走完，显示协议待发起,审批流通过后，要发起签约，这个待发起是签约的状态，不是审批流的状态。
塘鹅租售珑珠未发放,您好，合同完结之后才会发放珑珠。
线上签约添加企业后无法发起线上签约的原因,"创建合同的时候信息选择企业的话，除了企业信息，还要添加个法定代表人或者负责人,线上签约需要添加法定代表人+代理人，线下签约可以不添加代理人。"
手动发起兼职经纪人升级在哪里查看流程,手动发起的会创建一个am审批流程，发起人变成升级的那位管家员工，他可以在云图索待办我发起里查看审批进度。
合同已办结，忘记上传补充材料，如何上传,操作路径：金鳞系统-【签约】-【合同】-【合同列表】-根据合同编号搜索-点击详情-材料图片-最下面有补充材料，点击上传即可。
金鳞系统账单创建多了如何处理,在合同出新增补充协议，进行操作减免。
合同已经办结，没有返珑珠,查看有没有在途补充协议，如果有在途补充协议是不会返珑珠的。
无法拨打C1储备客户电话,"只有置业渠道专员具有储备客户电话权限，
可联系店长或者地区运营给您申请C1置业渠道专员角色"
申请金鳞系统的开店申请权限,在权限自助门户申请【申请金鳞系统-管理-开店申请权限】角色
运营需要金鳞系统查看完整的客源联系方式,"品质管理组员工才可查看客源联系方式，如需申请请见如下操作：
权限自助门户申请：塘鹅租售-地区-职能平台-运营-品质管理组员工"
资管账单中没有业主打款权限,权限自助申请：塘鹅租售-地区-租售-空间拓管-资管运营专员 角色
金麟系统无法上传图片,检查一下图片类型，如果是tif格式，请将图片从云图梭保存，再另存为桌面时选择转换成jpg格式，再进行上传
新入职员工无法使用虚拟号,新入职员工要在账号开通的第二天才可以在鹅掌柜-【我的头像】处点击进行申请虚拟号。
为什么补充协议里我司盖章处显示否,"我司是否盖章是代表需要我司盖章
我司是否盖章否代表不需要我司盖章
如果需要我司盖章，需要在发起补充协议的时候勾选丙方"
鹅掌柜录入房源，号码限制录入,如果是塘鹅租售员工，其号码不允许录入。可通过云图梭查询一下该手机号是否属于塘鹅租售员工。
金鳞系统门店管理的合同台账和装修台账如何导入,导入路径：【金鳞系统】-【管理】-【门店管理】-【经营状态管理】 ，点击导入合同台账或者导入装修台账。
金鳞系统筹开门店如何完成“地区开业检”,可申请【塘鹅租售-地区-职能平台-运营-区域支持组员工】角色，此角色有权限操作。
创建合同最后一步附件无法上传，无法签约,您好，因为附件的图片格式不正确，您可以将图片发送到微信，在保存到桌面，重新上传即可。
分成无法搜索到员工,您好，分成缘由是客源线索人或者房源线索人只可选择非租售序列员工，租售员工可以添加缘由为客源合作人的分成信息。
员工账号无法登录金鳞系统,您好，如果您是今天开通的账号请您等待明天再次尝试，账号第二天会自动同步您的权限
店长未收到提交的实勘申请,您好，需要您查一下门店是否存在多个店长，如有多个店长您可以联系另一个店长审批。具体查看路径如下：【登录系统】-【设置】-【权限查询】-【组织管理】-【搜索门店】
全周期全航道投模-C1航道权限,"投模表单按职能+项目管控：
1、按职能：集团统一配置，不可修改，详情参考《投模权限角色表》。
新权限角色表10月25更新 新权限角色表10月25更新
2、按项目：若缺少某项目权限，需在权限自助门户申请该项目角色；若账户下已有该项目角色，请报事处理。
权限同步时间（预算版）：固定每天下午18:00-19:00。
备注：如在当天19:00后才完成角色审批，将在明日18:00-19:00同步权限。
也可通过【权限自助门户】-【角色功能矩阵表】查询对应页面权限。"
全航道全周期投模-预算版填写流程,"image {https://prod-ai-talk.oss-cn-beijing.aliyuncs.com/know/prod/2022/04/24/16507784662111271.png?Expires=4804378466&OSSAccessKeyId=LTAI4FoeSXRLXKE7RJkj4q9Z&Signature=1bikvSUWAZhSHU6F2sEySupeAN4%3D}
image {https://prod-ai-talk.oss-cn-beijing.aliyuncs.com/know/prod/2022/03/23/16479998954033125.png?Expires=4801599895&OSSAccessKeyId=LTAI4FoeSXRLXKE7RJkj4q9Z&Signature=4CWbXhviU520FkxJ1cHagWz95%2Bw%3D}
"
常见问题汇总-预算版,"新添加了项目的成本/财务权限，什么时候生效
每天下午18:00-19:00进行权限同步和数据备份
自持航道的数据是否更新
预算编制期间不做更新，待定稿时更新
C11 一键计算报错（有信息未填写）
检查 A11的分期级土地清缴时间是否填写
A71表单中分年结利金额跟B35表单中不一致？
B33的收入调整项引起的，可在B33表单左上角选择对应分期后调整
A71结算收入跟B34/B36对不上
收入数据取自A71-结算计划的结算收入（不含增值税），先检查A71表1的检验列是否通过；
如未通过，请点击计算结转数据按钮；如还有检验未通过，检查A71表2结算比例是否未填写；
如已通过，请点击C11一键计算按钮重新计算
发生任何签约和结算比例的变化后，都需要先点击A71表内的计算按钮
B11 投模口径 成本数异常
投模与预算口径成本差异由资本化利息造成，可先对比两口径资本化利息数据差异；
预算口径 根据表A45PUD计算得出；投模口径 根据资金占压计算得出，在表B11展示
项目已结算，如何更新资本化管理费用？
可在A15填写资本化管理费用调整项
签约面积、签约货值等指标分月合计与总面积、总货值不相等，如何处理
供销存数据不准确导致，需在A00表单，点击【驳回供销存】按钮；
然后进入供销存系统进行数据检查和整理后，重新推送投模
B33调整不了怎么办
在B33表单左上角选择分期后，按分期调整；
若在分期上无法调整，群中报事，申请开通B33调整权限
B36（预算口径）调整项无法编辑，预算、投模口径的差异在哪里调？
仅可以在B33进行调整，B36同步取B33调整数
B34收入数据高于货值
B33的收入调整项引起的，可在B33表单左上角选择对应分期后调整
在A11修改简易计税税率后，B35表单收入数据没有变化
请检查A71是否点击计算按钮，然后再点击C11一键计算按钮重新计算；
任何签约和结算比例的变化，都需要先点击A71表内的计算按钮
已在A71维护结算比例，但计算不出B35表单分年结利数据
首次结利时间之后才能计算结转数据
B36表单里【少数股东权益调整-其他调整】需要调整
少数股东权益调整-其他调整取B73（1.3-股东约定的其他事项对股东收益的影响（税后、权益后）），需在B73调整。"
C1-U享家业主身份认证未通过提示：您的证件信息已被绑定,1、客户已经用其他手机号认证过，需要更换新手机号的话，如果新手机号没有登陆过龙湖产品，且旧手机号还可以自己登录，可以使用旧手机号登录U享家小程序，在【u享家小程序】-【系统设置】-【账号与安全】-【变更手机号】自行更换&nbsp;2、客户已经认证，新手机号登过龙湖产品或者旧手机号无法登录（注销），就需要联系业务【邹奇zouqi1】操作解绑，然后联系销管在crm新增手机号，重新认证。&nbsp;
登录U享家管理后台提示无权限,"如没有角色需在权限自助门户申请角色；
角色正常的话请使用uh.longfor.com这个链接进行登录。"
U享家导出数据,您好，关于客户信息数据等导出功能下线；不支持也不允许导出。
C1-U享家三号位收不到公众号离线消息提醒,"收不到微信公众号消息提醒的操作如下：
1，检查登录微信手机号与三号位手机号是否一致；
2，登录与三号位手机号一致的微信号；
3，搜索并点开U享家小程序；
4，使用拉风上架名片的手机号登录U享家小程序；
5，关注龙湖U享家公众号；
6，再次登录U享家小程序。"
三号位配置流程,三号位配置流程： 1、申请【客储】账户；（如有【新业务】【蜜蜂派】账号也可以）2、角色申请“无offer置业顾问角色”（仅该角色为三号位角色，其他无效），第一次申请账号时可直接关联（需关联部门选到营销组）3、登陆一次拉风app（未登录拉风后台无数据）；4、经理或主管老师在拉风后台配置顾问名片上架；5、策划老师在u享家后台配置上线；可多名三号位同时在线）相应的操作步骤流程指引，可参考该链接第七章->三号位配置流程
U享家字段填充率,"项目字段填充百分比问题，
字段填充率不止这个页面的，所有每一项都需要填写，字段完全维护后 次日同步显示百分比 。"
置业顾问笔记无法保存,"笔记支持上传图片；
检查是否包含emoji表情和特殊字符，笔记不支持emoji表情和特殊字符；
如检查后无法保存整篇笔记，那么逐步粘贴笔记保存，定位具体无法保存内容，修正后重新保存。"
散包人员考勤无法提交审批,"知识背景：散包人员考勤每月2号后，无法再提交审批。
解答：在散包打卡考勤手册规定中，散包员工当月的加班申请、远程补卡、缺勤补卡（限制3次），最迟提交时间为次月2日前，逾期则不可提交且无法处理。"
项目中TPO或SDM离职，需更改对应人员,"知识背景：项目中TPO或SDM离职，需更改对应人员
解答：
1、如需修改的项目为【执行中】的项目可直接联系项目的PMO进行协助调整；
2、如需修改的项目为【已结项】需拉通该项目的PMO，同意之后聊天记录截图附上，拉通ALM产研老师王维来协助后台调整。"
新注册公司多久可以在龙眼查系统查询到,"龙眼查T+1可以查询到新注册的公司
 "
项目的招商指标设置问题,云图梭联系集团负责商办业务的吴欣(wuxin4)咨询！
租赁开始日期不能选择过去的日期,集团为了管控及时录入台账，租赁开始日期限制选择为当日及当日之后的日期。
新建租赁台账时商户搜索不到,可在“商户管理”菜单下查询该商户是否在列表内，若不在列表可进行新建添加，若新建时提示已被他人维护，联系地区招商负责人进行重新分配商户的归属。
款齐时间查看方法,款齐时间再业主信息里，点击“获取业主信息”，营销经理确认后便可以查看款齐时间了。
招商进度中往年带租约销售含义,先租后售的房源，且房源的租赁合同签署日期在往年。
珑珠发放列表提示：用户无此查询权限,"如无权限，需自行在【权限自助门户】申请角色，提交审批通过后，关闭OA重新登入可及时生效。
以下角色有操作发放权限：
①地区地产项目营销主管，
②地区地产项目营销经理，
③地区地产销售支持模块负责人，
④地区地产项目销控，
⑤地区地产项目销支。"
点击珑珠发放时显示会员信息异常,联系客户重新注册会员。
珑珠发放列表客户会员等级显示“/”,客户未注册会员，联系客户重新注册会员。
签约返珑珠的发放时间和发放条件,"1、有产权房源：款齐、维护了网签日期和备案号即可发放；
2、无产权房源：款齐即可发放。"
发放列表合同备案号与CRM备案号不一致,若当天维护未更新，请次日更新后再查看。若仍存在不一致，请在ITSM中报事。
签约返珑珠的发放对象,不是第一个权益人，是主要联系人；可在CRM-合同-权益人中设置主要联系人，设置完发放列表T+1更新。
发放前业主变更联系电话,只能通过变更权益人的形式来变更发放手机号码，新增备用电话无法变更，变更执行完T+1更新。
客户成长值未达到2000，但是会员等级显示为V3,会员初始化时，各航道均有原会员等级保留的情况，故存在成长值未达标但等级较高的情况；如不是这种情况，请在ITSM中报事。
权益中台搜不到签约返珑珠房间,"房间需满足 网签+维护备案号+款齐+次日 且 房间的产权类型要维护，
需要在 【项目准备】-【房间维护】-【房间其他维护】-【修改产权类型】，维护后次日同步"
奖金设置方案有误如何调整,无法直接调整，只能作废重新提交审批，8号前都可以。方案重新修改提交审批通过后会自动重算。
拉风算薪一个人员多账号如何处理,"1、一个人员多个账号情况，需要将当月新签房源的业绩归属和奖金归属调整到新账号下，往月签约房源明细表中调整奖金归属到新账号下，老账号还有钱，新账号就会展示；
2、在人员奖金汇总明细处，只要有不为0的奖金项，下载下来就会展示。"
拉风奖金平台看板数据更新规则,奖金看板数据T+1天更新，当天产生的需次日查看
拉风指标看板渠道数据提示无权限,"1、目前仅顾问、主管、经理、销管、销控拥有查看权限；
2、渠道等角色不可查看。
3、渠道指标数据可以到蜜蜂派管理端查看"
拉风app考勤签到异常,原因1：置业顾问未设置排班，导致打卡页面不显示考勤点名称。解决办法：检查置业顾问排班是否设置了考勤点：联系营销经理在 【PC拉风】-【人员管理】-【置业顾问考勤设置】&nbsp;如下图所示：备注：首次排班时，建议将未来三天均排上（否则系统将自动复制第三天的空排班记录作为第四天往后的默认排班，导致无法考勤），如果不连续设置3天的班次，则需每天手动进行设置排班。&nbsp;原因2：考勤点位置设置不准确，导致打卡距离过远：解决办法：营销经理在【PC拉风】-【人员管理】-【考勤点设置】，修改考勤点页面，在地图上搜索到地址后，使用鼠标点击地图上的位置，再点击确认保存，如下图所示：&nbsp;&nbsp;原因3：打卡项目选择错误。解决办法：在拉风app工作台顶部选择已排班的项目，再进行打卡。原因4：没有开启网络或者网络不可用，导致地图加载不出来，当前定位不显示。解决办法：更换WiFi，或者找手机信号好的地方重试。
拉风没有房源查看的功能权限,"原因1、 外部账号：使用者账号若为外部账号，是没有房源查看权限的。
原因2、权限配置：营销经理没有配置该岗位权限。
解决办法：联系营销经理进行咨询。"
登录拉风APP提示网络连接失败,"原因1：既没有链接WiFi，也没有打开手机流量；
解决办法：开启手机流程，或者连接WiFi。
原因2：没有允许拉风使用手机流量。
解决办法：打开手机设置，【设置】-【无线局域网】-【使用无线局域网与蜂窝网络的App】-【找到拉风】打开-【选择""WLAN与蜂窝网络""】。"
拉风角色权限生效时间,"角色申请审批通过后，每半小时同步一次，
执行时间为7-23整点及半点
如超过时间点后仍无法登录，需检查角色申请是否正常。"
拉风下载时提示无法连接到iTunes Store,"打开手机设置，【设置】-【无线局域网】-【使用无线局域网与蜂窝网络的App】-找到【iTunes Store】，打开【选择""WLAN与蜂窝网络""】。"
拉风下载时提示Safari打不开该网页,"1.打开手机设置，【设置】-【无线局域网】-【使用无线局域网与蜂窝网络的App】-找到【Safari】打开-【选择""WLAN与蜂窝网络""】。
2.请检查下载的链接是否正确，请参考Android手机和iOS手机版本拉风下载链接https://maiaplat.longfor.com/#/DownNewVerson?appKey=8a64774717fb4238aae0534fe7885f03"
申请拉风权限,"申请方法：
云图梭-应用-权限自助门户
权限自助门户使用说明：https://idoc.longfor.com/word/wlcmFCkaC6ld9yZJHKeSIMylJhRq
备注1：
1.只有置业顾问的权限可以录入客户；
2.角色申请，角色权限审批通过后，半小时同步一次，执行时间为7-23整点及半点
3.新的角色生效后，需要退出拉风app，重新登录。
备注2：
新员工不知道申请什么角色，需开通拉风权限。
1.渠道岗员工需要申请地区地产项目渠道专员角色；
2.项目主管需申请地区地产项目营销主管角色；
3.营销经理需申请地区地产项目营销经理角色；
4.策划岗员工需要申请地区地产项目策划专员角色；
5.置业顾问员工需要申请地区地产项目置业顾问角色；
6.营销总监需要申请地区地产营销职能负责人角色，才有线下珑珠活动的审批权限；
7.财务岗申请对应的岗位角色才可以访问拉风里面的CRM报表。有拉风app登录权限的角色：地区地产项目置业顾问；地区地产项目无offer置业顾问；地区地产项目渠道专员；地区地产项目营销主管；地区地产项目营销经理；地区地产项目销支；地区地产销支专员；地区地产销售支持模块负责人；地区地产大客户及渠道模块负责人；集团数据运营中心专员。
备注3：
有拉风app登录权限的角色：
集团赋能平台安全创新职能负责人
地区地产项目营销主管
地区地产策划模块负责人
地区地产大客户及渠道模块负责人
集团赋能平台战略及客研职能副总(客研)
集团赋能平台安全创新安全审计专员
集团数科营销平台中心负责人
地区地产项目策划专员
地产总部营销区域管控员工
地区地产项目营销经理
地区地产项目销控
集团数科IT基础应用运维工程师
地区地产项目渠道专员
集团赋能平台财务职能负责人
地区地产项目营销迎宾岗
地区地产销售模块负责人
集团赋能平台内审审计员工
地区地产营销价格集团审批专员
地区地产项目营销奖金专员
地区地产营销招商员工
集团AIOT人工智能引擎大数据数据应用产品专员
地区地产营销部文员
数字科技部业务运营投资客研员工
地产总部营销区域管控中心负责人
地产总部营销职能负责人
地产总部营销策划渠道员工
地区地产项目无offer置业顾问
地产总部营销策划渠道中心负责人
集团营销营销产品小组负责人
地产总部营销渠道变革员工
地区地产销支专员
地区地产项目置业顾问
地区地产集团营销支持负责人
地产总部营销数据运营员工
集团赋能平台内审全局查询权限
地区地产营销部奖金专员
集团营销营销产品员工
地产总部营销营销产品中心负责人
地区地产销售支持模块负责人
地区地产总经理
地区地产常务发展副总
地区地产营销职能负责人
地区地产招商模块负责人
地产总部航道负责人
集团地产内审风控BP_营销
地产总部营销数据运营中心负责人
地区地产渠道变革集团专员。"
申请与删除拉风外部账号,"解决方法：
参考文档进行操作拉风-外部账号申请及删除.pdf
备注：
1.可申请无offer置业顾问账号（即绽放账号、3号位账号）、前台迎宾岗账号。
2.申请过程中注意以下问题，操作不当会导致账号不可用：
  （1）必须从客储账号入口进入申请页面；
  （2）一个手机号只能注册一个外部账号，如果提示手机号被占用，请更换新手机号，或者参考文档注销已有的账号后再申请；
  （3）选择对接部门时一定要选择项目一期的营销部；
  （4）一定要选择关联角色。
3.审核通过后，注册时填写的手机号会收到账号和密码的短信。"
工作地点调整拉风中地区项目未变更,"参考文档申请项目角色拉风-角色变更申请.pdf
备注：
1.渠道岗员工需要申请地区地产项目渠道专员角色；
2.策划岗员工需要申请地区地产项目策划专员角色；
3.置业顾问员工需要申请地区地产项目置业顾问角色；
4.角色权限审批通过后，角色权限审批通过后，两小时同步一次，具体时间点：3,7,9,11,13,15,17,19,21,23，角色生效后，退出重新登录拉风APP。"
拉风APP客户列表如何消除红录客户,"问题原因：红录客户是由于客户的基本信息不完整造成的。
解决办法：在客户信息编辑界面，补全必填信息后系统会自动消除红录。
注意：已签约认购的客户信息无法编辑，无法消除红录。"
